keyword,originating_seed,originating_competitor_domain_page,competitor_type,source_endpoint,resolved_location_name,resolved_location_code,resolved_language_name,resolved_language_code,search_volume,monthly_trend,CPC,paid_competition,paid_competition_level,organic_keyword_difficulty,detected_intent,current_domain_position,current_ranking_URL,business_fit_note,exclusion_flag,exclusion_reason,data_update_timestamp
virtuves dizains,virtuves dizains,,,Prompt 1 normalized evidence: DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,Latvia,2428,Latvian,lv,320.0,"{""2026-06"": 210, ""2026-05"": 170, ""2026-04"": 210, ""2026-03"": 320, ""2026-02"": 320, ""2026-01"": 320, ""2025-12"": 210, ""2025-11"": 170, ""2025-10"": 320, ""2025-09"": 1300, ""2025-08"": 210, ""2025-07"": 210}",0.83,0.38,MEDIUM,,informational,,,Existing mapped-topic variant or Prompt 1 evidence; retain for incremental comparison.,False,,2026-07-10 03:07:50 +00:00
virtuves projektēšana,virtuves projektēšana,,,Prompt 1 normalized evidence: DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,Latvia,2428,Latvian,lv,20.0,"{""2026-06"": 10, ""2026-05"": 10, ""2026-04"": 20, ""2026-03"": 20, ""2026-02"": 20, ""2026-01"": 20, ""2025-12"": 30, ""2025-11"": 20, ""2025-10"": 40, ""2025-09"": 10, ""2025-08"": 20, ""2025-07"": 10}",1.25,0.64,MEDIUM,,informational,,,Existing mapped-topic variant or Prompt 1 evidence; retain for incremental comparison.,False,,2026-07-14 11:52:04 +00:00
virtuves plānošana,virtuves plānošana,,,Prompt 1 normalized evidence: DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,Latvia,2428,Latvian,lv,50.0,"{""2026-06"": 10, ""2026-05"": 10, ""2026-04"": 20, ""2026-03"": 20, ""2026-02"": 20, ""2026-01"": 20, ""2025-12"": 20, ""2025-11"": 20, ""2025-10"": 10, ""2025-09"": 390, ""2025-08"": 20, ""2025-07"": 20}",0.25,0.55,MEDIUM,,informational,,,Existing mapped-topic variant or Prompt 1 evidence; retain for incremental comparison.,False,,2026-07-10 08:16:04 +00:00
virtuves plānojums,virtuves plānojums,,,Prompt 1 normalized evidence: DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,Latvia,2428,Latvian,lv,70.0,"{""2026-06"": 10, ""2026-05"": 10, ""2026-04"": 20, ""2026-03"": 20, ""2026-02"": 20, ""2026-01"": 30, ""2025-12"": 10, ""2025-11"": 10, ""2025-10"": 50, ""2025-09"": 720, ""2025-08"": 10, ""2025-07"": 10}",,0.38,MEDIUM,,informational,,,Existing mapped-topic variant or Prompt 1 evidence; retain for incremental comparison.,False,,2026-07-13 18:16:44 +00:00
virtuves iekārtojums,virtuves iekārtojums,,,Prompt 1 normalized evidence: DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,Latvia,2428,Latvian,lv,90.0,"{""2026-06"": 20, ""2026-05"": 70, ""2026-04"": 50, ""2026-03"": 140, ""2026-02"": 70, ""2026-01"": 70, ""2025-12"": 50, ""2025-11"": 40, ""2025-10"": 70, ""2025-09"": 390, ""2025-08"": 50, ""2025-07"": 40}",1.39,0.33,LOW,,transactional,,,Existing mapped-topic variant or Prompt 1 evidence; retain for incremental comparison.,False,,2026-07-11 21:40:38 +00:00
virtuves uzstādīšana,virtuves uzstādīšana,,,Prompt 1 normalized evidence: DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,Latvia,2428,Latvian,lv,10.0,"{""2026-06"": 10, ""2026-05"": 10, ""2026-04"": 10, ""2026-03"": 10, ""2026-02"": 10, ""2026-01"": 10, ""2025-12"": 10, ""2025-11"": 10, ""2025-10"": 10, ""2025-09"": 10, ""2025-08"": 10, ""2025-07"": 10}",2.08,0.29,LOW,32.0,informational,,,Existing mapped-topic variant or Prompt 1 evidence; retain for incremental comparison.,False,,2026-07-12 05:19:41 +00:00
stūra virtuves,stūra virtuves,,,Prompt 1 normalized evidence: DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,Latvia,2428,Latvian,lv,70.0,"{""2026-06"": 40, ""2026-05"": 10, ""2026-04"": 40, ""2026-03"": 30, ""2026-02"": 20, ""2026-01"": 30, ""2025-12"": 10, ""2025-11"": 10, ""2025-10"": 40, ""2025-09"": 480, ""2025-08"": 20, ""2025-07"": 30}",0.85,0.5,MEDIUM,,informational,,,Existing mapped-topic variant or Prompt 1 evidence; retain for incremental comparison.,False,,2026-07-10 13:19:30 +00:00
L veida virtuves,L veida virtuves,,,Prompt 1 normalized evidence: DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,Latvia,2428,Latvian,lv,,,,,,,informational,,,Existing mapped-topic variant or Prompt 1 evidence; retain for incremental comparison.,False,,2026-06-17 01:56:02 +00:00
mazas virtuves,mazas virtuves,,,Prompt 1 normalized evidence: DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,Latvia,2428,Latvian,lv,20.0,"{""2026-06"": 20, ""2026-05"": 10, ""2026-04"": 10, ""2026-03"": 20, ""2026-02"": 10, ""2026-01"": 10, ""2025-12"": 10, ""2025-11"": 10, ""2025-10"": 10, ""2025-09"": 90, ""2025-08"": 10, ""2025-07"": 10}",0.32,0.4,MEDIUM,5.0,informational,,,Existing mapped-topic variant or Prompt 1 evidence; retain for incremental comparison.,False,,2026-07-12 12:51:51 +00:00
modernas virtuves,modernas virtuves,,,Prompt 1 normalized evidence: DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,Latvia,2428,Latvian,lv,50.0,"{""2026-06"": 10, ""2026-05"": 10, ""2026-04"": 20, ""2026-03"": 20, ""2026-02"": 30, ""2026-01"": 20, ""2025-12"": 10, ""2025-11"": 30, ""2025-10"": 30, ""2025-09"": 390, ""2025-08"": 20, ""2025-07"": 10}",0.35,0.67,HIGH,,informational,,,Existing mapped-topic variant or Prompt 1 evidence; retain for incremental comparison.,False,,2026-07-10 02:00:45 +00:00
virtuve ar salu,virtuve ar salu,,,Prompt 1 normalized evidence: DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,Latvia,2428,Latvian,lv,10.0,"{""2026-06"": 10, ""2026-05"": 10, ""2026-04"": 10, ""2026-03"": 10, ""2026-02"": 10, ""2026-01"": 10, ""2025-12"": 10, ""2025-11"": 10, ""2025-10"": 10, ""2025-09"": 10, ""2025-08"": 10, ""2025-07"": 10}",,0.1,LOW,,informational,,,Existing mapped-topic variant or Prompt 1 evidence; retain for incremental comparison.,False,,2026-07-14 00:16:21 +00:00
virtuves saliņa,virtuves saliņa,,,Prompt 1 normalized evidence: DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,Latvia,2428,Latvian,lv,30.0,"{""2026-06"": 30, ""2026-05"": 30, ""2026-04"": 20, ""2026-03"": 50, ""2026-02"": 30, ""2026-01"": 30, ""2025-12"": 20, ""2025-11"": 40, ""2025-10"": 30, ""2025-09"": 20, ""2025-08"": 30, ""2025-07"": 40}",0.74,0.47,MEDIUM,,transactional,,,Existing mapped-topic variant or Prompt 1 evidence; retain for incremental comparison.,False,,2026-07-11 01:41:03 +00:00
virtuves skapīši,virtuves skapīši,ikea.com; idmebeles.lv; 220.lv; optimus.lv; gintaromebeles.lv; bigbox.lv; 24a.lv; depo.lv; ksenukai.lv; 1a.lv; virtuvesskapisi.lv; 4istabas.lv; ss.com,retailer/marketplace dominant; one direct custom-kitchen provider; publisher,Prompt 1 normalized evidence: DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty; SERP Organic Live Advanced,Latvia,2428,Latvian,lv,1000.0,"{""2026-06"": 1000, ""2026-05"": 1000, ""2026-04"": 1000, ""2026-03"": 1300, ""2026-02"": 1300, ""2026-01"": 1300, ""2025-12"": 1000, ""2025-11"": 1300, ""2025-10"": 1300, ""2025-09"": 1300, ""2025-08"": 1000, ""2025-07"": 1000}",0.46,0.7,HIGH,,transactional,,,Existing mapped-topic variant or Prompt 1 evidence; retain for incremental comparison.,False,,2026-07-12 07:54:38 +00:00
virtuves fasādes,virtuves fasādes,,,Prompt 1 normalized evidence: DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,Latvia,2428,Latvian,lv,70.0,"{""2026-06"": 30, ""2026-05"": 40, ""2026-04"": 30, ""2026-03"": 40, ""2026-02"": 50, ""2026-01"": 50, ""2025-12"": 40, ""2025-11"": 40, ""2025-10"": 70, ""2025-09"": 480, ""2025-08"": 50, ""2025-07"": 30}",0.43,0.52,MEDIUM,,transactional,,,Existing mapped-topic variant or Prompt 1 evidence; retain for incremental comparison.,False,,2026-07-12 19:59:21 +00:00
virtuves furnitūra,virtuves furnitūra,,,Prompt 1 normalized evidence: DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,Latvia,2428,Latvian,lv,110.0,"{""2026-06"": 40, ""2026-05"": 40, ""2026-04"": 70, ""2026-03"": 90, ""2026-02"": 90, ""2026-01"": 70, ""2025-12"": 70, ""2025-11"": 90, ""2025-10"": 110, ""2025-09"": 480, ""2025-08"": 70, ""2025-07"": 70}",0.89,0.42,MEDIUM,,transactional,,,Existing mapped-topic variant or Prompt 1 evidence; retain for incremental comparison.,False,,2026-07-14 05:49:41 +00:00
virtuves interjers,virtuves interjers,,,Prompt 1 normalized evidence: DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,Latvia,2428,Latvian,lv,70.0,"{""2026-06"": 50, ""2026-05"": 10, ""2026-04"": 30, ""2026-03"": 40, ""2026-02"": 40, ""2026-01"": 40, ""2025-12"": 20, ""2025-11"": 40, ""2025-10"": 70, ""2025-09"": 390, ""2025-08"": 20, ""2025-07"": 20}",0.53,0.21,LOW,,navigational,,,Existing mapped-topic variant or Prompt 1 evidence; retain for incremental comparison.,False,,2026-07-11 10:54:37 +00:00
taisna virtuves iekārta,taisna virtuves iekārta,,,Prompt 1 normalized evidence: DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,Latvia,2428,Latvian,lv,,,,,,,,,,Existing mapped-topic variant or Prompt 1 evidence; retain for incremental comparison.,False,,
vienas sienas virtuve,vienas sienas virtuve,,,Prompt 1 normalized evidence: DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,Latvia,2428,Latvian,lv,,,,,,,,,,Existing mapped-topic variant or Prompt 1 evidence; retain for incremental comparison.,False,,
paralēla virtuves iekārta,paralēla virtuves iekārta,,,Prompt 1 normalized evidence: DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,Latvia,2428,Latvian,lv,,,,,,,,,,Existing mapped-topic variant or Prompt 1 evidence; retain for incremental comparison.,False,,
gaiteņa tipa virtuve,gaiteņa tipa virtuve,,,Prompt 1 normalized evidence: DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,Latvia,2428,Latvian,lv,,,,,,,,,,Existing mapped-topic variant or Prompt 1 evidence; retain for incremental comparison.,False,,
U veida virtuve,U veida virtuve,,,Prompt 1 normalized evidence: DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,Latvia,2428,Latvian,lv,,,,,,,informational,,,Existing mapped-topic variant or Prompt 1 evidence; retain for incremental comparison.,False,,2026-06-17 08:42:51 +00:00
virtuve ar pussalu,virtuve ar pussalu,,,Prompt 1 normalized evidence: DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,Latvia,2428,Latvian,lv,,,,,,,,,,Existing mapped-topic variant or Prompt 1 evidence; retain for incremental comparison.,False,,
atvērta plānojuma virtuve,atvērta plānojuma virtuve,,,Prompt 1 normalized evidence: DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,Latvia,2428,Latvian,lv,,,,,,,,,,Existing mapped-topic variant or Prompt 1 evidence; retain for incremental comparison.,False,,
virtuve dzīvoklim,virtuve dzīvoklim,,,Prompt 1 normalized evidence: DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,Latvia,2428,Latvian,lv,,,,,,,,,,Existing mapped-topic variant or Prompt 1 evidence; retain for incremental comparison.,False,,
virtuve privātmājai,virtuve privātmājai,,,Prompt 1 normalized evidence: DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,Latvia,2428,Latvian,lv,,,,,,,,,,Existing mapped-topic variant or Prompt 1 evidence; retain for incremental comparison.,False,,
virtuve jaunbūvei,virtuve jaunbūvei,,,Prompt 1 normalized evidence: DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,Latvia,2428,Latvian,lv,,,,,,,,,,Existing mapped-topic variant or Prompt 1 evidence; retain for incremental comparison.,False,,
virtuves glabāšanas risinājumi,virtuves glabāšanas risinājumi,,,Prompt 1 normalized evidence: DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,Latvia,2428,Latvian,lv,,,,,,,,,,Existing mapped-topic variant or Prompt 1 evidence; retain for incremental comparison.,False,,
iebūvējamās tehnikas izvietojums virtuvē,iebūvējamās tehnikas izvietojums virtuvē,,,Prompt 1 normalized evidence: DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,Latvia,2428,Latvian,lv,,,,,,,,,,Existing mapped-topic variant or Prompt 1 evidence; retain for incremental comparison.,False,,
virtuves konsultācija,virtuves konsultācija,,,Prompt 1 normalized evidence: DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,Latvia,2428,Latvian,lv,,,,,,,,,,Existing mapped-topic variant or Prompt 1 evidence; retain for incremental comparison.,False,,
virtuves tāme,virtuves tāme,,,Prompt 1 normalized evidence: DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,Latvia,2428,Latvian,lv,,,,,,,,,,Existing mapped-topic variant or Prompt 1 evidence; retain for incremental comparison.,False,,
virtuves piedāvājums,virtuves piedāvājums,,,Prompt 1 normalized evidence: DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,Latvia,2428,Latvian,lv,,,,,,,,,,Existing mapped-topic variant or Prompt 1 evidence; retain for incremental comparison.,False,,
virtuves uz pasūtījumu,virtuves pēc pasūtījuma,,,seed expansion; DataForSEO metric row unavailable in captured batch,Latvia,2428,Latvian,lv,,,,,,,,,,Plausible complete custom-kitchen need; requires Prompt 3 live-SERP validation.,False,,2026-07-29
individuāla virtuve pēc pasūtījuma,virtuves pēc pasūtījuma,,,seed expansion; DataForSEO metric row unavailable in captured batch,Latvia,2428,Latvian,lv,,,,,,,,,,Plausible complete custom-kitchen need; requires Prompt 3 live-SERP validation.,False,,2026-07-29
virtuves mēbeles uz pasūtījumu,virtuves pēc pasūtījuma,,,seed expansion; DataForSEO metric row unavailable in captured batch,Latvia,2428,Latvian,lv,,,,,,,,,,Plausible complete custom-kitchen need; requires Prompt 3 live-SERP validation.,False,,2026-07-29
virtuves iekārta uz pasūtījumu,virtuves pēc pasūtījuma,,,seed expansion; DataForSEO metric row unavailable in captured batch,Latvia,2428,Latvian,lv,,,,,,,,,,Plausible complete custom-kitchen need; requires Prompt 3 live-SERP validation.,False,,2026-07-29
virtuves projekts pēc pasūtījuma,virtuves pēc pasūtījuma,,,seed expansion; DataForSEO metric row unavailable in captured batch,Latvia,2428,Latvian,lv,,,,,,,,,,Plausible complete custom-kitchen need; requires Prompt 3 live-SERP validation.,False,,2026-07-29
funkcionāls virtuves plānojums,virtuves plānošana,,,seed expansion; DataForSEO metric row unavailable in captured batch,Latvia,2428,Latvian,lv,,,,,,,,,,Plausible complete custom-kitchen need; requires Prompt 3 live-SERP validation.,False,,2026-07-29
virtuves darba zonas plānošana,virtuves plānošana,,,seed expansion; DataForSEO metric row unavailable in captured batch,Latvia,2428,Latvian,lv,,,,,,,,,,Plausible complete custom-kitchen need; requires Prompt 3 live-SERP validation.,False,,2026-07-29
virtuves ergonomika,virtuves plānošana,,,seed expansion; DataForSEO metric row unavailable in captured batch,Latvia,2428,Latvian,lv,,,,,,,,,,Plausible complete custom-kitchen need; requires Prompt 3 live-SERP validation.,False,,2026-07-29
virtuves skapju plānošana,virtuves plānošana,,,seed expansion; DataForSEO metric row unavailable in captured batch,Latvia,2428,Latvian,lv,,,,,,,,,,Plausible complete custom-kitchen need; requires Prompt 3 live-SERP validation.,False,,2026-07-29
virtuves tehnikas izvietojums,virtuves plānošana,,,seed expansion; DataForSEO metric row unavailable in captured batch,Latvia,2428,Latvian,lv,,,,,,,,,,Plausible complete custom-kitchen need; requires Prompt 3 live-SERP validation.,False,,2026-07-29
virtuves durvju un atvilktņu plānošana,virtuves plānošana,,,seed expansion; DataForSEO metric row unavailable in captured batch,Latvia,2428,Latvian,lv,,,,,,,,,,Plausible complete custom-kitchen need; requires Prompt 3 live-SERP validation.,False,,2026-07-29
virtuves konsultācija,virtuves plānošana,,,seed expansion; DataForSEO metric row unavailable in captured batch,Latvia,2428,Latvian,lv,,,,,,,,,,Plausible complete custom-kitchen need; requires Prompt 3 live-SERP validation.,False,,2026-07-29
virtuves projekta konsultācija,virtuves plānošana,,,seed expansion; DataForSEO metric row unavailable in captured batch,Latvia,2428,Latvian,lv,,,,,,,,,,Plausible complete custom-kitchen need; requires Prompt 3 live-SERP validation.,False,,2026-07-29
taisna virtuve,konfigurācijas,,,seed expansion; DataForSEO metric row unavailable in captured batch,Latvia,2428,Latvian,lv,,,,,,,,,,Plausible complete custom-kitchen need; requires Prompt 3 live-SERP validation.,False,,2026-07-29
vienas sienas virtuve,konfigurācijas,,,seed expansion; DataForSEO metric row unavailable in captured batch,Latvia,2428,Latvian,lv,,,,,,,,,,Plausible complete custom-kitchen need; requires Prompt 3 live-SERP validation.,False,,2026-07-29
paralēla virtuve,konfigurācijas,,,seed expansion; DataForSEO metric row unavailable in captured batch,Latvia,2428,Latvian,lv,,,,,,,,,,Plausible complete custom-kitchen need; requires Prompt 3 live-SERP validation.,False,,2026-07-29
gaiteņa tipa virtuve,konfigurācijas,,,seed expansion; DataForSEO metric row unavailable in captured batch,Latvia,2428,Latvian,lv,,,,,,,,,,Plausible complete custom-kitchen need; requires Prompt 3 live-SERP validation.,False,,2026-07-29
L veida virtuve,konfigurācijas,,,seed expansion; DataForSEO metric row unavailable in captured batch,Latvia,2428,Latvian,lv,,,,,,,,,,Plausible complete custom-kitchen need; requires Prompt 3 live-SERP validation.,False,,2026-07-29
stūra virtuve pēc pasūtījuma,konfigurācijas,,,seed expansion; DataForSEO metric row unavailable in captured batch,Latvia,2428,Latvian,lv,,,,,,,,,,Plausible complete custom-kitchen need; requires Prompt 3 live-SERP validation.,False,,2026-07-29
U veida virtuve,konfigurācijas,,,seed expansion; DataForSEO metric row unavailable in captured batch,Latvia,2428,Latvian,lv,,,,,,,,,,Plausible complete custom-kitchen need; requires Prompt 3 live-SERP validation.,False,,2026-07-29
virtuve ar pussalu,konfigurācijas,,,seed expansion; DataForSEO metric row unavailable in captured batch,Latvia,2428,Latvian,lv,,,,,,,,,,Plausible complete custom-kitchen need; requires Prompt 3 live-SERP validation.,False,,2026-07-29
virtuve ar salu,konfigurācijas,,,seed expansion; DataForSEO metric row unavailable in captured batch,Latvia,2428,Latvian,lv,,,,,,,,,,Plausible complete custom-kitchen need; requires Prompt 3 live-SERP validation.,False,,2026-07-29
atvērta plānojuma virtuve,konfigurācijas,,,seed expansion; DataForSEO metric row unavailable in captured batch,Latvia,2428,Latvian,lv,,,,,,,,,,Plausible complete custom-kitchen need; requires Prompt 3 live-SERP validation.,False,,2026-07-29
virtuve mazam dzīvoklim,situācijas,,,seed expansion; DataForSEO metric row unavailable in captured batch,Latvia,2428,Latvian,lv,,,,,,,,,,Plausible complete custom-kitchen need; requires Prompt 3 live-SERP validation.,False,,2026-07-29
virtuve hruščovkai,situācijas,,,seed expansion; DataForSEO metric row unavailable in captured batch,Latvia,2428,Latvian,lv,,,,,,,,,,Plausible complete custom-kitchen need; requires Prompt 3 live-SERP validation.,False,,2026-07-29
virtuve 103 sērijas dzīvoklim,situācijas,,,seed expansion; DataForSEO metric row unavailable in captured batch,Latvia,2428,Latvian,lv,,,,,,,,,,Plausible complete custom-kitchen need; requires Prompt 3 live-SERP validation.,False,,2026-07-29
virtuve 104 sērijas dzīvoklim,situācijas,,,seed expansion; DataForSEO metric row unavailable in captured batch,Latvia,2428,Latvian,lv,,,,,,,,,,Plausible complete custom-kitchen need; requires Prompt 3 live-SERP validation.,False,,2026-07-29
virtuve 602 sērijas dzīvoklim,situācijas,,,seed expansion; DataForSEO metric row unavailable in captured batch,Latvia,2428,Latvian,lv,,,,,,,,,,Plausible complete custom-kitchen need; requires Prompt 3 live-SERP validation.,False,,2026-07-29
virtuve privātmājai,situācijas,,,seed expansion; DataForSEO metric row unavailable in captured batch,Latvia,2428,Latvian,lv,,,,,,,,,,Plausible complete custom-kitchen need; requires Prompt 3 live-SERP validation.,False,,2026-07-29
virtuve jaunbūvei,situācijas,,,seed expansion; DataForSEO metric row unavailable in captured batch,Latvia,2428,Latvian,lv,,,,,,,,,,Plausible complete custom-kitchen need; requires Prompt 3 live-SERP validation.,False,,2026-07-29
