keyword,seed_keyword,source,source_endpoint,competitor_source,location,language,search_volume,monthly_trend,cpc,organic_difficulty,detected_intent,current_domain_position,current_ranking_url,top_10_domains,top_10_urls,serp_result_types,serp_similarity_group,serp_observation,data_updated_at
iebūvējamās virtuves cenas,competitor ranked keyword,DataForSEO Labs Google Ranked Keywords: virtuvesjums.lv; request id 07291353-1514-0381-0000-92f8061b97e4,DataForSEO Labs Google Keyword Overview; SERP Organic Live Advanced,,Latvia (2428),Latvian (lv),70,"{""yearly"":-33}",1.46,16,commercial,,,[],[],[],,SERP response not captured in writable connector output; no values estimated.,2026-07-29
virtuves dizains,virtuves dizains,Prompt 1 normalized evidence: DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,DataForSEO Labs Google Keyword Overview; SERP Organic Live Advanced,,Latvia (2428),Latvian (lv),320,"{""monthly"":24}",0.83,,informational,,,[],[],[],,SERP response not captured in writable connector output; no values estimated.,2026-07-29
virtuves projektēšana,virtuves projektēšana,Prompt 1 normalized evidence: DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,DataForSEO Labs Google Keyword Overview; SERP Organic Live Advanced,,Latvia (2428),Latvian (lv),20,"{""quarterly"":-50}",1.25,,informational,,,[],[],[],,SERP response not captured in writable connector output; no values estimated.,2026-07-29
virtuves plānošana,virtuves plānošana,Prompt 1 normalized evidence: DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,DataForSEO Labs Google Keyword Overview; SERP Organic Live Advanced,,Latvia (2428),Latvian (lv),50,"{""quarterly"":-50}",0.25,,informational,,,[],[],[],,SERP response not captured in writable connector output; no values estimated.,2026-07-29
funkcionāls virtuves plānojums,virtuves plānošana,seed expansion; DataForSEO metric row unavailable in captured batch,DataForSEO Labs Google Keyword Overview; SERP Organic Live Advanced,,Latvia (2428),Latvian (lv),,,,,,,,[],[],[],,SERP response not captured in writable connector output; no values estimated.,2026-07-29
virtuves konsultācija,virtuves konsultācija,Prompt 1 normalized evidence: DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,DataForSEO Labs Google Keyword Overview; SERP Organic Live Advanced,,Latvia (2428),Latvian (lv),,,,,,,,[],[],[],,SERP response not captured in writable connector output; no values estimated.,2026-07-29
virtuves tāme,virtuves tāme,Prompt 1 normalized evidence: DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,DataForSEO Labs Google Keyword Overview; SERP Organic Live Advanced,,Latvia (2428),Latvian (lv),,,,,,,,[],[],[],,SERP response not captured in writable connector output; no values estimated.,2026-07-29
virtuves cenas aprēķins,outcomes,seed expansion; DataForSEO metric row unavailable in captured batch,DataForSEO Labs Google Keyword Overview; SERP Organic Live Advanced,,Latvia (2428),Latvian (lv),,,,,,,,[],[],[],,SERP response not captured in writable connector output; no values estimated.,2026-07-29
virtuves piegāde un uzstādīšana,delivery_install,seed expansion; DataForSEO metric row unavailable in captured batch,DataForSEO Labs Google Keyword Overview; SERP Organic Live Advanced,,Latvia (2428),Latvian (lv),,,,,,,,[],[],[],,SERP response not captured in writable connector output; no values estimated.,2026-07-29
virtuves izgatavošana un uzstādīšana,delivery_install,seed expansion; DataForSEO metric row unavailable in captured batch,DataForSEO Labs Google Keyword Overview; SERP Organic Live Advanced,,Latvia (2428),Latvian (lv),,,,,,,,[],[],[],,SERP response not captured in writable connector output; no values estimated.,2026-07-29
virtuves uzstādīšanas cena,delivery_install,seed expansion; DataForSEO metric row unavailable in captured batch,DataForSEO Labs Google Keyword Overview; SERP Organic Live Advanced,,Latvia (2428),Latvian (lv),,,,,,,,[],[],[],,SERP response not captured in writable connector output; no values estimated.,2026-07-29
stūra virtuves,stūra virtuves,Prompt 1 normalized evidence: DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,DataForSEO Labs Google Keyword Overview; SERP Organic Live Advanced,,Latvia (2428),Latvian (lv),70,"{""monthly"":300,""yearly"":100}",0.85,,informational,,,[],[],[],,SERP response not captured in writable connector output; no values estimated.,2026-07-29
L veida virtuve,konfigurācijas,seed expansion; DataForSEO metric row unavailable in captured batch,DataForSEO Labs Google Keyword Overview; SERP Organic Live Advanced,,Latvia (2428),Latvian (lv),,,,,,,,[],[],[],,SERP response not captured in writable connector output; no values estimated.,2026-07-29
U veida virtuve,U veida virtuve,Prompt 1 normalized evidence: DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,DataForSEO Labs Google Keyword Overview; SERP Organic Live Advanced,,Latvia (2428),Latvian (lv),,"""""",,,informational,,,[],[],[],,SERP response not captured in writable connector output; no values estimated.,2026-07-29
virtuve ar salu,virtuve ar salu,Prompt 1 normalized evidence: DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,DataForSEO Labs Google Keyword Overview; SERP Organic Live Advanced,,Latvia (2428),Latvian (lv),10,{},,,informational,,,[],[],[],,SERP response not captured in writable connector output; no values estimated.,2026-07-29
virtuves sala,competitor ranked keyword,DataForSEO Labs Google Ranked Keywords: virtuvesjums.lv; request id 07291353-1514-0381-0000-92f8061b97e4,DataForSEO Labs Google Keyword Overview; SERP Organic Live Advanced,,Latvia (2428),Latvian (lv),320,"{""monthly"":-19,""quarterly"":-19,""yearly"":24}",0.47,,navigational,,,[],[],[],,SERP response not captured in writable connector output; no values estimated.,2026-07-29
virtuve ar pussalu,virtuve ar pussalu,Prompt 1 normalized evidence: DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,DataForSEO Labs Google Keyword Overview; SERP Organic Live Advanced,,Latvia (2428),Latvian (lv),,,,,,,,[],[],[],,SERP response not captured in writable connector output; no values estimated.,2026-07-29
vienas sienas virtuve,vienas sienas virtuve,Prompt 1 normalized evidence: DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,DataForSEO Labs Google Keyword Overview; SERP Organic Live Advanced,,Latvia (2428),Latvian (lv),,,,,,,,[],[],[],,SERP response not captured in writable connector output; no values estimated.,2026-07-29
paralēla virtuve,konfigurācijas,seed expansion; DataForSEO metric row unavailable in captured batch,DataForSEO Labs Google Keyword Overview; SERP Organic Live Advanced,,Latvia (2428),Latvian (lv),,,,,,,,[],[],[],,SERP response not captured in writable connector output; no values estimated.,2026-07-29
gaiteņa tipa virtuve,gaiteņa tipa virtuve,Prompt 1 normalized evidence: DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,DataForSEO Labs Google Keyword Overview; SERP Organic Live Advanced,,Latvia (2428),Latvian (lv),,,,,,,,[],[],[],,SERP response not captured in writable connector output; no values estimated.,2026-07-29
virtuve mazam dzīvoklim,situācijas,seed expansion; DataForSEO metric row unavailable in captured batch,DataForSEO Labs Google Keyword Overview; SERP Organic Live Advanced,,Latvia (2428),Latvian (lv),,,,,,,,[],[],[],,SERP response not captured in writable connector output; no values estimated.,2026-07-29
virtuves iekārtas hruščovkām,virtuves iekārtas hruščovkām,seed expansion,DataForSEO Labs Google Keyword Overview; SERP Organic Live Advanced,,Latvia (2428),Latvian (lv),10,{},,32,transactional,,,[],[],[],,SERP response not captured in writable connector output; no values estimated.,2026-07-29
virtuve privātmājai,virtuve privātmājai,Prompt 1 normalized evidence: DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,DataForSEO Labs Google Keyword Overview; SERP Organic Live Advanced,,Latvia (2428),Latvian (lv),,,,,,,,[],[],[],,SERP response not captured in writable connector output; no values estimated.,2026-07-29
virtuve jaunbūvei,virtuve jaunbūvei,Prompt 1 normalized evidence: DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,DataForSEO Labs Google Keyword Overview; SERP Organic Live Advanced,,Latvia (2428),Latvian (lv),,,,,,,,[],[],[],,SERP response not captured in writable connector output; no values estimated.,2026-07-29
atvērta plānojuma virtuve,atvērta plānojuma virtuve,Prompt 1 normalized evidence: DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,DataForSEO Labs Google Keyword Overview; SERP Organic Live Advanced,,Latvia (2428),Latvian (lv),,,,,,,,[],[],[],,SERP response not captured in writable connector output; no values estimated.,2026-07-29
virtuves pēc pasūtījuma Rīga,virtuves pēc pasūtījuma + verified location,DataForSEO Labs Google Keyword Overview; response items=[] (request id 07291353-1514-0607-0000-0280df0bcfb7),DataForSEO Labs Google Keyword Overview; SERP Organic Live Advanced,,Latvia (2428),Latvian (lv),,,,,,,,[],[],[],,SERP response not captured in writable connector output; no values estimated.,2026-07-29
