resolved_location_name,resolved_location_code,resolved_language_name,resolved_language_code,keyword,current_position,current_ranking_url,search_volume,available_monthly_trend,CPC,paid_competition,paid_competition_level,organic_keyword_difficulty,detected_intent,relevant_SERP_features,relevant_competitor_domains,competitor_type,commercially_useful_for_verified_business,source_endpoint,data_update_timestamp
Latvia,2428,Latvian,lv,virtuves dizains,,,320.0,"{""2026-06"": 210, ""2026-05"": 170, ""2026-04"": 210, ""2026-03"": 320, ""2026-02"": 320, ""2026-01"": 320, ""2025-12"": 210, ""2025-11"": 170, ""2025-10"": 320, ""2025-09"": 1300, ""2025-08"": 210, ""2025-07"": 210}",0.83,0.38,MEDIUM,,informational,,,,conditional,DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,2026-07-10 03:07:50 +00:00
Latvia,2428,Latvian,lv,virtuves projektēšana,,,20.0,"{""2026-06"": 10, ""2026-05"": 10, ""2026-04"": 20, ""2026-03"": 20, ""2026-02"": 20, ""2026-01"": 20, ""2025-12"": 30, ""2025-11"": 20, ""2025-10"": 40, ""2025-09"": 10, ""2025-08"": 20, ""2025-07"": 10}",1.25,0.64,MEDIUM,,informational,,,,yes,DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,2026-07-14 11:52:04 +00:00
Latvia,2428,Latvian,lv,virtuves plānošana,,,50.0,"{""2026-06"": 10, ""2026-05"": 10, ""2026-04"": 20, ""2026-03"": 20, ""2026-02"": 20, ""2026-01"": 20, ""2025-12"": 20, ""2025-11"": 20, ""2025-10"": 10, ""2025-09"": 390, ""2025-08"": 20, ""2025-07"": 20}",0.25,0.55,MEDIUM,,informational,,,,yes,DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,2026-07-10 08:16:04 +00:00
Latvia,2428,Latvian,lv,virtuves plānojums,,,70.0,"{""2026-06"": 10, ""2026-05"": 10, ""2026-04"": 20, ""2026-03"": 20, ""2026-02"": 20, ""2026-01"": 30, ""2025-12"": 10, ""2025-11"": 10, ""2025-10"": 50, ""2025-09"": 720, ""2025-08"": 10, ""2025-07"": 10}",,0.38,MEDIUM,,informational,,,,conditional,DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,2026-07-13 18:16:44 +00:00
Latvia,2428,Latvian,lv,virtuves iekārtojums,,,90.0,"{""2026-06"": 20, ""2026-05"": 70, ""2026-04"": 50, ""2026-03"": 140, ""2026-02"": 70, ""2026-01"": 70, ""2025-12"": 50, ""2025-11"": 40, ""2025-10"": 70, ""2025-09"": 390, ""2025-08"": 50, ""2025-07"": 40}",1.39,0.33,LOW,,transactional,,,,yes,DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,2026-07-11 21:40:38 +00:00
Latvia,2428,Latvian,lv,virtuves uzstādīšana,,,10.0,"{""2026-06"": 10, ""2026-05"": 10, ""2026-04"": 10, ""2026-03"": 10, ""2026-02"": 10, ""2026-01"": 10, ""2025-12"": 10, ""2025-11"": 10, ""2025-10"": 10, ""2025-09"": 10, ""2025-08"": 10, ""2025-07"": 10}",2.08,0.29,LOW,32.0,informational,,,,yes,DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,2026-07-12 05:19:41 +00:00
Latvia,2428,Latvian,lv,stūra virtuves,,,70.0,"{""2026-06"": 40, ""2026-05"": 10, ""2026-04"": 40, ""2026-03"": 30, ""2026-02"": 20, ""2026-01"": 30, ""2025-12"": 10, ""2025-11"": 10, ""2025-10"": 40, ""2025-09"": 480, ""2025-08"": 20, ""2025-07"": 30}",0.85,0.5,MEDIUM,,informational,,,,yes,DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,2026-07-10 13:19:30 +00:00
Latvia,2428,Latvian,lv,L veida virtuves,,,,,,,,,informational,,,,yes,DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,2026-06-17 01:56:02 +00:00
Latvia,2428,Latvian,lv,mazas virtuves,,,20.0,"{""2026-06"": 20, ""2026-05"": 10, ""2026-04"": 10, ""2026-03"": 20, ""2026-02"": 10, ""2026-01"": 10, ""2025-12"": 10, ""2025-11"": 10, ""2025-10"": 10, ""2025-09"": 90, ""2025-08"": 10, ""2025-07"": 10}",0.32,0.4,MEDIUM,5.0,informational,,,,yes,DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,2026-07-12 12:51:51 +00:00
Latvia,2428,Latvian,lv,modernas virtuves,,,50.0,"{""2026-06"": 10, ""2026-05"": 10, ""2026-04"": 20, ""2026-03"": 20, ""2026-02"": 30, ""2026-01"": 20, ""2025-12"": 10, ""2025-11"": 30, ""2025-10"": 30, ""2025-09"": 390, ""2025-08"": 20, ""2025-07"": 10}",0.35,0.67,HIGH,,informational,,,,yes,DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,2026-07-10 02:00:45 +00:00
Latvia,2428,Latvian,lv,virtuve ar salu,,,10.0,"{""2026-06"": 10, ""2026-05"": 10, ""2026-04"": 10, ""2026-03"": 10, ""2026-02"": 10, ""2026-01"": 10, ""2025-12"": 10, ""2025-11"": 10, ""2025-10"": 10, ""2025-09"": 10, ""2025-08"": 10, ""2025-07"": 10}",,0.1,LOW,,informational,,,,yes,DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,2026-07-14 00:16:21 +00:00
Latvia,2428,Latvian,lv,virtuves saliņa,,,30.0,"{""2026-06"": 30, ""2026-05"": 30, ""2026-04"": 20, ""2026-03"": 50, ""2026-02"": 30, ""2026-01"": 30, ""2025-12"": 20, ""2025-11"": 40, ""2025-10"": 30, ""2025-09"": 20, ""2025-08"": 30, ""2025-07"": 40}",0.74,0.47,MEDIUM,,transactional,,,,yes,DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,2026-07-11 01:41:03 +00:00
Latvia,2428,Latvian,lv,virtuves skapīši,,,1000.0,"{""2026-06"": 1000, ""2026-05"": 1000, ""2026-04"": 1000, ""2026-03"": 1300, ""2026-02"": 1300, ""2026-01"": 1300, ""2025-12"": 1000, ""2025-11"": 1300, ""2025-10"": 1300, ""2025-09"": 1300, ""2025-08"": 1000, ""2025-07"": 1000}",0.46,0.7,HIGH,,transactional,organic; related_searches; knowledge_graph; google_reviews; images,ikea.com; idmebeles.lv; 220.lv; optimus.lv; gintaromebeles.lv; bigbox.lv; 24a.lv; depo.lv; ksenukai.lv; 1a.lv; virtuvesskapisi.lv; 4istabas.lv; ss.com,retailer/marketplace dominant; one direct custom-kitchen provider; publisher,conditional,DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty; SERP Organic Live Advanced,2026-07-12 07:54:38 +00:00
Latvia,2428,Latvian,lv,virtuves fasādes,,,70.0,"{""2026-06"": 30, ""2026-05"": 40, ""2026-04"": 30, ""2026-03"": 40, ""2026-02"": 50, ""2026-01"": 50, ""2025-12"": 40, ""2025-11"": 40, ""2025-10"": 70, ""2025-09"": 480, ""2025-08"": 50, ""2025-07"": 30}",0.43,0.52,MEDIUM,,transactional,,,,conditional,DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,2026-07-12 19:59:21 +00:00
Latvia,2428,Latvian,lv,virtuves furnitūra,,,110.0,"{""2026-06"": 40, ""2026-05"": 40, ""2026-04"": 70, ""2026-03"": 90, ""2026-02"": 90, ""2026-01"": 70, ""2025-12"": 70, ""2025-11"": 90, ""2025-10"": 110, ""2025-09"": 480, ""2025-08"": 70, ""2025-07"": 70}",0.89,0.42,MEDIUM,,transactional,,,,conditional,DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,2026-07-14 05:49:41 +00:00
Latvia,2428,Latvian,lv,virtuves interjers,,,70.0,"{""2026-06"": 50, ""2026-05"": 10, ""2026-04"": 30, ""2026-03"": 40, ""2026-02"": 40, ""2026-01"": 40, ""2025-12"": 20, ""2025-11"": 40, ""2025-10"": 70, ""2025-09"": 390, ""2025-08"": 20, ""2025-07"": 20}",0.53,0.21,LOW,,navigational,,,,conditional,DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,2026-07-11 10:54:37 +00:00
Latvia,2428,Latvian,lv,taisna virtuves iekārta,,,,,,,,,,,,,unclear,DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,
Latvia,2428,Latvian,lv,vienas sienas virtuve,,,,,,,,,,,,,unclear,DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,
Latvia,2428,Latvian,lv,paralēla virtuves iekārta,,,,,,,,,,,,,unclear,DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,
Latvia,2428,Latvian,lv,gaiteņa tipa virtuve,,,,,,,,,,,,,unclear,DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,
Latvia,2428,Latvian,lv,U veida virtuve,,,,,,,,,informational,,,,unclear,DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,2026-06-17 08:42:51 +00:00
Latvia,2428,Latvian,lv,virtuve ar pussalu,,,,,,,,,,,,,unclear,DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,
Latvia,2428,Latvian,lv,atvērta plānojuma virtuve,,,,,,,,,,,,,unclear,DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,
Latvia,2428,Latvian,lv,virtuve dzīvoklim,,,,,,,,,,,,,yes,DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,
Latvia,2428,Latvian,lv,virtuve privātmājai,,,,,,,,,,,,,yes,DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,
Latvia,2428,Latvian,lv,virtuve jaunbūvei,,,,,,,,,,,,,yes,DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,
Latvia,2428,Latvian,lv,virtuves glabāšanas risinājumi,,,,,,,,,,,,,conditional,DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,
Latvia,2428,Latvian,lv,iebūvējamās tehnikas izvietojums virtuvē,,,,,,,,,,,,,conditional,DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,
Latvia,2428,Latvian,lv,virtuves konsultācija,,,,,,,,,,,,,yes,DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,
Latvia,2428,Latvian,lv,virtuves tāme,,,,,,,,,,,,,yes,DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,
Latvia,2428,Latvian,lv,virtuves piedāvājums,,,,,,,,,,,,,yes,DataForSEO Labs Google Keyword Overview; Bulk Keyword Difficulty,
